node,page_rank,rank,comm,rank_comm
683,0.001060510017847784,278,29,2
476,0.0010601751339260291,279,20,2
1000,0.0010562437503066516,280,54,2
921,0.0010533464371635785,281,46,5
1255,0.0010497461185305357,282,92,7
1104,0.0010416544057518203,283,66,2
562,0.001040869357613315,284,25,9
46,0.001038949218809613,285,2,10
557,0.0010376094981631634,286,25,10
1241,0.0010255782323240338,287,92,8
634,0.0010230008648112077,288,27,14
393,0.001015545127656926,289,16,19
858,0.0010155061720212983,290,42,6
69,0.0010123904337540023,291,2,11
766,0.0010110530121493536,292,36,4
1273,0.0010097244179273486,293,92,9
185,0.0010078936172974895,294,8,13
727,0.0010069483525419103,295,33,4
610,0.0010049053975560599,296,27,15
9,0.0010019311260507317,297,1,7
24,0.0010016852960279506,298,2,12
1056,0.0009985127361416262,299,61,4
1054,0.0009976552535816492,300,61,5
1281,0.0009970074002710603,301,92,10
893,0.0009951467691755231,302,43,9
125,0.0009949351118151064,303,6,13
1089,0.0009945844291642891,304,63,7
341,0.0009902328415494308,305,15,4
993,0.0009851048691910313,306,52,3
679,0.0009830218670473902,307,28,2
42,0.0009819152012947668,308,2,13
71,0.0009814282461136302,309,2,14
53,0.0009810859464703156,310,2,15
714,0.0009797278827374989,311,32,3
64,0.0009739774554186693,312,2,16
1053,0.0009738658785076946,313,61,6
764,0.0009727626459143969,314,36,5
772,0.0009727626459143969,315,36,6
1145,0.0009727626459143969,316,71,1
568,0.0009727626459143969,317,25,11
644,0.0009727626459143969,318,27,16
765,0.0009727626459143969,319,36,7
876,0.0009727626459143969,320,42,7
1197,0.0009727626459143969,321,85,4
874,0.0009727626459143969,322,42,8
623,0.0009727626459143969,323,27,17
778,0.0009727626459143969,324,36,8
1200,0.0009727626459143969,325,85,5
661,0.0009727626459143969,326,27,18
350,0.0009727626459143969,327,15,5
750,0.0009727626459143969,328,34,7
642,0.0009727626459143969,329,27,19
730,0.0009727626459143969,330,34,8
980,0.0009727626459143969,331,52,4
368,0.0009706673803313499,332,16,20
1096,0.0009676540301460009,333,65,2
1264,0.000966130022758103,334,92,11
953,0.0009660548107089795,335,51,4
752,0.0009620673069975379,336,34,9
625,0.0009620443145169561,337,27,20
198,0.0009613712598476048,338,8,14
205,0.0009597383666978945,339,8,15
47,0.0009587863961169857,340,2,17
1103,0.0009543671983087764,341,65,3
536,0.0009539474978960663,342,23,3
801,0.0009527574693810104,343,39,2
850,0.0009524374480370207,344,42,9
322,0.0009498550196091921,345,13,15
216,0.0009464529229966628,346,11,1
746,0.0009457418385078575,347,34,10
998,0.0009418528593888062,348,53,1
618,0.0009311270023967776,349,27,21
1244,0.000931021807548329,350,92,12
1177,0.0009300764214076193,351,81,1
459,0.0009257129925339405,352,19,8
15,0.000923728606533869,353,1,8
508,0.0009233545429904142,354,21,9
1189,0.0009220062553738309,355,84,2
70,0.00092167434079719,356,2,18
682,0.0009183295521791732,357,28,3
1156,0.0009156601274622851,358,74,1
512,0.0009147548836023445,359,22,1
1167,0.0009147548836023445,360,77,1
649,0.0009129411082691785,361,27,22
567,0.0009100182494234192,362,25,12
1173,0.0009100044457692857,363,79,1
598,0.0009072772682800637,364,26,6
800,0.0009018246412773783,365,39,3
1147,0.0008989668624034238,366,72,1
994,0.0008974724061488577,367,52,5
678,0.0008973396652552287,368,28,4
388,0.0008973396652552287,369,16,21
353,0.0008973340923783529,370,15,6
1263,0.0008951404209696772,371,92,13
925,0.0008930469326066706,372,46,6
22,0.0008908339212312616,373,1,9
93,0.0008878364810184088,374,3,15
1002,0.0008858547347940583,375,54,3
999,0.0008858547347940583,376,54,4
275,0.0008854062106888646,377,12,24
419,0.0008826692682832899,378,16,22
881,0.0008823106000721032,379,42,10
1152,0.0008786666054917667,380,73,3
1061,0.0008782325936330848,381,62,1
278,0.0008740943472378623,382,12,25
392,0.0008707452277016664,383,16,23
1141,0.0008684900899870232,384,70,2
732,0.0008666776849638204,385,34,11
1010,0.0008661606142582088,386,58,6
760,0.0008655426126620881,387,35,1
725,0.0008644349318878903,388,33,5
848,0.0008569921019598863,389,42,11
1267,0.000855949321628432,390,92,14
152,0.0008546469439361262,391,6,14
720,0.0008541379590095539,392,33,6
310,0.0008528833744808726,393,13,16
2,0.0008521751242732667,394,1,10
549,0.0008506085774809142,395,24,7
264,0.0008474607894943119,396,12,26
1231,0.0008467699870358725,397,88,1
632,0.0008466366765188214,398,27,23
671,0.0008436845103386606,399,27,24
719,0.000843217317255761,400,33,7
856,0.0008406336753260169,401,42,12
1272,0.0008398207572540083,402,92,15
548,0.0008395449944439543,403,24,8
739,0.0008390887822594347,404,34,12
543,0.0008379198370951789,405,24,9
200,0.0008355185110711894,406,8,16
1259,0.0008335953829427417,407,92,16
1057,0.0008330055337973848,408,61,7
308,0.0008310767389735713,409,13,17
723,0.0008307521417159812,410,33,8
907,0.0008307513132732732,411,43,10
1095,0.0008264808103584595,412,64,2
863,0.0008254146782396851,413,42,13
1109,0.0008252518246385272,414,66,3
971,0.0008252283889212044,415,52,6
650,0.000823500156900433,416,27,25
1270,0.0008221844410538896,417,92,17
196,0.0008214271010222601,418,8,17
438,0.0008198566201194473,419,16,24
1217,0.000816146438518468,420,86,6
935,0.0008150614422670529,421,49,3
1059,0.000814217709998466,422,61,8
209,0.0008141284982567851,423,9,1
214,0.000813412013882334,424,10,3
143,0.0008109399228025753,425,6,15
469,0.0008107458158028362,426,19,9
1030,0.0008104788878074567,427,58,7
395,0.0008097719195009051,428,16,25
531,0.0008097719195009051,429,23,4
792,0.0008094412612247135,430,37,1
1009,0.0008079950494010759,431,58,8
411,0.0008079467011772479,432,16,26
572,0.0008065532674763048,433,25,13
369,0.0008019470290716584,434,16,27
878,0.0007995202805174305,435,42,14
1107,0.0007989062793495971,436,66,4
30,0.0007984963129654967,437,2,19
328,0.0007982821801447939,438,13,18
99,0.0007951047186035402,439,3,16
1005,0.0007940670641221975,440,56,1
822,0.0007933796173951509,441,41,3
1277,0.0007923300912000767,442,92,18
57,0.0007912449415902247,443,2,20
298,0.0007908071148337298,444,12,27
1229,0.0007879888561153983,445,88,2
1218,0.000787327634499105,446,86,7
622,0.0007872383340526282,447,27,26
1164,0.000786746867187159,448,76,1
1015,0.0007849741842143235,449,58,9
1140,0.0007841306698604781,450,70,3
817,0.0007840475986339275,451,41,4
1240,0.0007837798541640772,452,92,19
653,0.0007836597552076432,453,27,27
658,0.0007815957884141954,454,27,28
10,0.000781045073009989,455,1,11
1102,0.0007806946064547962,456,65,4
763,0.000780382303603098,457,36,9
404,0.0007803614770228195,458,16,28
474,0.0007769295718843223,459,20,3
429,0.0007765995925648062,460,16,29
1040,0.0007752463627231742,461,60,3
1117,0.0007745071418394105,462,68,8
227,0.0007725926548590016,463,12,28
777,0.0007719453386673766,464,36,10
578,0.0007709488663225164,465,25,14
394,0.0007699724930141942,466,16,30
807,0.0007679077904160493,467,40,3
897,0.0007666725320055097,468,43,11
591,0.0007653488952444236,469,26,7
1007,0.0007625876068000424,470,57,1
558,0.000760227005821106,471,25,15
743,0.0007598172447211071,472,34,13
1257,0.0007593704938129571,473,92,20
1247,0.0007581735906960692,474,92,21
1146,0.0007554111569921701,475,71,2
1194,0.0007552503203880269,476,85,6
1212,0.0007543347091288767,477,86,8
565,0.0007527082206739507,478,25,16
1248,0.0007521593035826108,479,92,22
213,0.000747903158373543,480,10,4
289,0.0007429879873597472,481,12,29
4,0.0007423440945734358,482,1,12
1100,0.000741541152492863,483,65,5
398,0.0007414006204511121,484,16,31
741,0.000736869554302188,485,34,14
380,0.0007359193653144856,486,16,32
749,0.0007356215695564186,487,34,15
898,0.0007350128496570681,488,43,12
1165,0.0007332515064751866,489,76,2
689,0.0007297688804721676,490,30,2
619,0.0007297688804721676,491,27,29
124,0.0007277763622834869,492,5,1
1256,0.000725888991683195,493,92,23
496,0.0007214939205857806,494,21,10
595,0.0007213279975617637,495,26,8
1230,0.0007211272685713381,496,88,3
722,0.0007210656016341331,497,33,9
949,0.0007176650276005744,498,51,5
471,0.0007139214928695865,499,19,10
1228,0.00071288096745579,500,87,2
1024,0.000712865375035983,501,58,10
491,0.0007111656632799808,502,21,11
1036,0.0007100320916069488,503,59,2
