n_nodes,influence,communities,time,nodes
16.0,34.02,6,4,"[1341, 1780, 17, 861, 533, 603, 4309, 1119, 4627, 2952, 3833, 482, 553, 1816, 143, 184]"
91.0,157.31,11,5,"[1341, 1190, 17, 3861, 861, 230, 699, 1793, 599, 513, 1134, 2421, 1524, 3592, 184, 283, 159, 482, 1119, 1100, 875, 777, 903, 988, 4627, 4372, 748, 1308, 3156, 1312, 636, 180, 1914, 5746, 654, 1648, 2920, 38, 734, 1528, 3978, 484, 524, 360, 545, 345, 3578, 1419, 740, 1122, 1126, 172, 1600, 1526, 779, 214, 303, 4367, 716, 5486, 888, 1277, 410, 1780, 3796, 3303, 1551, 223, 13, 4298, 44, 558, 3070, 143, 1641, 1423, 213, 914, 22, 1307, 1311, 292, 550, 175, 1342, 2242, 2370, 709, 1873, 352, 1509]"
45.0,91.17,7,5,"[3376, 17, 4, 3718, 513, 143, 778, 988, 1100, 5484, 1119, 184, 159, 636, 734, 1648, 568, 776, 545, 3046, 172, 565, 410, 2487, 1600, 1302, 4758, 214, 716, 284, 740, 180, 1533, 2957, 643, 3833, 1593, 2955, 1549, 484, 1630, 654, 1528, 87, 1816]"
54.0,105.67,10,5,"[1341, 326, 1190, 533, 4426, 230, 699, 513, 599, 3592, 184, 3978, 779, 13, 5240, 2957, 1551, 1143, 988, 5746, 283, 4367, 1423, 1600, 1302, 748, 214, 734, 716, 777, 284, 740, 180, 1533, 524, 713, 1419, 52, 3833, 1138, 558, 3277, 3046, 2274, 899, 4651, 643, 546, 1545, 1317, 263, 209, 1086, 606]"
54.0,107.33,7,5,"[1341, 1190, 17, 2022, 1873, 230, 699, 513, 599, 4651, 184, 546, 988, 3592, 13, 1494, 690, 1545, 4627, 4367, 524, 1429, 875, 1093, 410, 283, 38, 164, 1528, 888, 180, 3046, 748, 899, 636, 1317, 263, 209, 1308, 1086, 606, 1793, 740, 777, 1648, 1419, 159, 1600, 2957, 2960, 545, 172, 734, 568]"
20.0,34.18,9,3,"[3833, 4665, 2510, 2072, 4351, 3728, 988, 976, 3949, 1093, 538, 3156, 274, 407, 153, 1562, 3867, 3355, 2957, 13]"
38.0,79.06,6,5,"[1341, 1190, 17, 3861, 861, 230, 2264, 513, 599, 3592, 1134, 184, 1524, 1086, 4627, 1308, 777, 606, 3156, 2957, 1545, 1317, 263, 988, 180, 1793, 209, 546, 899, 2274, 713, 4651, 716, 558, 1138, 52, 284, 1533]"
69.0,131.37,8,5,"[3833, 17, 1102, 1119, 599, 5452, 988, 603, 3728, 869, 2648, 87, 634, 1093, 1143, 184, 3156, 3972, 734, 1308, 283, 1494, 2960, 1428, 748, 164, 3046, 303, 1648, 514, 636, 1122, 2274, 740, 1784, 1126, 159, 284, 1793, 1533, 568, 713, 52, 4651, 1138, 172, 565, 546, 558, 899, 214, 1600, 3277, 776, 2487, 606, 716, 643, 209, 545, 263, 777, 524, 1086, 1545, 1317, 2957, 1302, 410]"
60.0,114.31,9,5,"[1341, 17, 1190, 3861, 861, 230, 699, 513, 599, 3592, 1134, 184, 2897, 1524, 777, 1444, 360, 114, 4372, 180, 5746, 1114, 4546, 988, 1594, 514, 3728, 164, 636, 5147, 263, 643, 1793, 524, 734, 1545, 568, 1119, 776, 565, 2487, 1093, 4298, 899, 1302, 2957, 740, 143, 1423, 1600, 545, 172, 2752, 1533, 410, 716, 223, 1126, 1784, 1277]"
69.0,125.25,10,5,"[4064, 4356, 3728, 1471, 87, 2452, 3868, 2960, 1265, 2548, 690, 5746, 13, 1143, 5240, 1838, 1593, 1423, 777, 988, 748, 871, 1526, 636, 3671, 4966, 914, 3046, 159, 1793, 1533, 558, 3277, 734, 514, 899, 1784, 643, 184, 263, 776, 740, 2862, 1648, 1545, 524, 2957, 1138, 1302, 2274, 410, 1308, 284, 545, 546, 1317, 4651, 172, 52, 1600, 565, 2487, 568, 1086, 713, 716, 606, 209, 214]"
11.0,27.06,4,4,"[3833, 4627, 4, 777, 861, 230, 699, 513, 2817, 184, 413]"
44.0,87.76,10,5,"[1341, 326, 1143, 283, 861, 230, 1190, 5746, 533, 748, 599, 699, 777, 740, 5240, 1423, 513, 184, 1877, 3592, 734, 988, 3978, 779, 13, 1419, 2957, 1551, 875, 3339, 3046, 2035, 4367, 643, 3833, 2955, 1549, 484, 1630, 654, 1332, 87, 524, 1593]"
7.0,11.63,6,2,"[1341, 17, 3471, 4351, 1410, 988, 3728]"
38.0,77.79,7,4,"[3376, 17, 4, 1485, 5225, 988, 513, 903, 599, 777, 184, 1100, 634, 2960, 1524, 1134, 1494, 87, 538, 1114, 5746, 1593, 180, 209, 546, 899, 2274, 713, 4651, 558, 1138, 52, 284, 1533, 5417, 3592, 716, 2957]"
87.0,153.86,10,5,"[1341, 1524, 17, 1190, 861, 3861, 513, 3592, 230, 524, 699, 3087, 22, 545, 2897, 1444, 599, 360, 777, 184, 546, 38, 4546, 1134, 550, 1914, 4372, 4651, 888, 52, 565, 1600, 114, 180, 1419, 1114, 2487, 4190, 5746, 1119, 3833, 1120, 2957, 1533, 1122, 776, 3728, 1126, 1641, 1302, 1648, 1138, 284, 734, 410, 636, 143, 172, 175, 5346, 488, 694, 1475, 2242, 709, 899, 713, 716, 213, 740, 214, 223, 2274, 3303, 1784, 1277, 1307, 2937, 1311, 292, 1342, 4294, 1423, 1873, 352, 3538, 1509]"
43.0,86.65,6,5,"[3376, 17, 4, 3718, 513, 988, 5225, 777, 1134, 599, 184, 1524, 903, 829, 1119, 4627, 1947, 3763, 180, 482, 553, 713, 3411, 2281, 1429, 1816, 1593, 740, 38, 875, 164, 1793, 654, 1551, 1093, 1528, 636, 545, 643, 524, 2957, 748, 1423]"
87.0,154.11,9,5,"[3376, 17, 4, 1485, 988, 5062, 5225, 599, 777, 1524, 1134, 184, 903, 1100, 634, 2960, 1494, 87, 538, 1593, 1093, 5746, 1114, 180, 3411, 2281, 1793, 4367, 1429, 875, 1528, 1526, 748, 13, 962, 2250, 38, 734, 914, 4298, 44, 545, 1648, 740, 1419, 888, 568, 488, 2937, 524, 636, 2370, 1277, 1475, 1600, 1120, 172, 709, 214, 3592, 1784, 1873, 1126, 3303, 143, 3538, 716, 1122, 352, 223, 22, 1509, 1307, 1311, 2957, 1641, 565, 2487, 292, 550, 1302, 410, 175, 213, 1342, 694, 2242]"
73.0,136.35,10,5,"[1341, 533, 17, 988, 1190, 1873, 13, 699, 1545, 230, 599, 4627, 184, 5253, 263, 3592, 513, 209, 524, 1086, 410, 606, 4651, 4190, 5746, 1119, 3833, 546, 1120, 180, 2957, 1533, 1122, 776, 3728, 4349, 1641, 1302, 1648, 1138, 284, 734, 636, 143, 172, 175, 5346, 488, 694, 1475, 2242, 709, 899, 713, 716, 213, 740, 214, 223, 2274, 3303, 1784, 1277, 1307, 2937, 1311, 292, 1342, 4294, 1423, 352, 3538, 1509]"
20.0,46.08,8,4,"[3376, 4048, 4, 3718, 513, 988, 599, 777, 5225, 1134, 1524, 184, 903, 1100, 634, 3833, 13, 2957, 180, 538]"
11.0,28.04,3,4,"[3833, 1102, 1119, 533, 4913, 988, 230, 699, 513, 2817, 184]"
30.0,54.85,10,4,"[3833, 4627, 4, 777, 3728, 976, 3949, 1093, 274, 538, 3156, 2281, 283, 1114, 3411, 1419, 734, 748, 5746, 740, 1528, 1648, 4367, 1877, 4952, 2035, 643, 2955, 524, 87]"
63.0,116.29,10,5,"[1341, 4354, 1190, 17, 861, 230, 4546, 3861, 1914, 699, 2512, 1134, 888, 114, 3833, 360, 599, 2897, 5746, 1444, 5346, 38, 1119, 284, 1533, 565, 184, 4372, 636, 2487, 52, 4651, 1138, 4190, 3728, 713, 546, 2274, 899, 643, 513, 2817, 3592, 777, 1419, 524, 2957, 1302, 740, 143, 1423, 22, 1307, 180, 734, 1600, 545, 292, 550, 172, 716, 214, 1277]"
38.0,76.88,8,5,"[3376, 3718, 17, 87, 4, 988, 1114, 599, 5225, 1134, 5746, 1524, 513, 1593, 634, 777, 184, 713, 558, 1100, 1138, 1494, 52, 284, 903, 1533, 5417, 2274, 2960, 180, 538, 3592, 899, 2957, 546, 3984, 716, 209]"
40.0,79.72,10,5,"[1341, 326, 1190, 533, 861, 230, 3867, 513, 599, 3592, 184, 3978, 779, 13, 5240, 1551, 2957, 1143, 988, 283, 5746, 4367, 748, 3396, 1877, 2487, 777, 1600, 716, 546, 2274, 740, 1317, 713, 4651, 606, 3277, 52, 558, 1086]"
